URL,Company,tagline,Website,Twitter,Facebook,Linkedin,Location,Company Size,Markets,Founders or People
https://angel.co/company/mountain-grow-cannabis-dispensary,MOUNTAIN GROW CANNABIS DISPENSARY,Mountain Essential Oils are a handcrafted,https://mountaingrowdispensary.com/site/jobs,,,,"
California
Canada
New York City
Washington DC
Florida
Massachusetts
Vermont
New Jersey
Oregon
Colorado
Illinois
Michigan
Nevada
Arizona
Alaska",5000+ people,"MobileDigital MediaSocial MediaSaaSEnterprise SoftwareHealthcareReal EstateFinancial ServicesClean TechnologyE-CommerceConsumer GoodsAdvertisingCloud ComputingSocial GamesB2BMusicSales and MarketingFood and BeveragesSportsOnline TravelPublishingMachine LearningFashionMobile CommerceVideo GamesTwitter ApplicationsHealth Care Information TechnologyHospitalityBig DataArtificial IntelligenceVentures for GoodGoldSocial Media PlatformsiPhoneNatural Language ProcessingInvestment ManagementNonprofitsWeb DesignSmall and Medium BusinessesPoliticsiOSPersonal HealthStartupsMobile PaymentsKidsMobile GamesJournalismAgricultureCustomer ServiceCraigslist KillersPublic RelationsHealth and WellnessYoung AdultsEngineering FirmsCreative IndustriesGoogle AppsSoccerSpecialty FoodsK-12 EducationCoffeeCareer ManagementCigarette ManufacturingAquacultureInternet of ThingsCraft BeerUniversity StudentsOrganic FoodVirtual CurrencyEntertainment IndustryFinance TechnologyWeb DevelopmentEmploymentCosmeticsGeneration Y-ZHome DecorLaw EnforcementHardware + SoftwareInsurance CompaniesEmployer Benefits ProgramsJewelryCarsHousehold ServicesUsaYogaNew YorkEcommerceCanadaVirtual RealityPart Time JobsSoftware EngineeringLima, PeruAnimationAmazonWebsiteYoung EntrepreneursGrowth HackerDigital MarketingFin TechClub PromotionErgonomicsUruguayAmerican FootballMedical Marijuana DispensariesMarijuana",Ghills Hakim
https://angel.co/company/am-pm-management-1,AM-PM Management,Large scale Cannabis Manufacturing,http://ac3vapes.com/,,,,San Bernardino,1-10 people,MarijuanaManufacturing,Matt Herald
https://angel.co/company/tpredict,Tpredict,Predictive Analytics system for Doctors,http://www.tpredict.com/,,,,Tel Aviv-Yafo,1-10 people,Hr TechSaaSArtificial IntelligenceMedical TechnologiesMarijuanaB2B · SaaS · Mobile · Artificial Intelligence / Machine Learning,Moshe Mazuz
https://angel.co/company/blaze-11,Blaze,,blaze.me,,,,Long Beach,11-50 people,SaaSEnterprise SoftwareMedical Marijuana DispensariesMarijuana,Kai Kirk
https://angel.co/company/cannabista,Cannabista,Pharmaceutical grade cannabinoïds refinement for obesity and anxiety,http://cannabista.ca/,,https://www.facebook.com/mjnrefinement/,https://www.linkedin.com/company/26541153/,Saint-Paulin,1-10 people,CanadaMexicoEuropePharmaceuticalsMarijuana EdiblesMarijuana,Dominic Daigle and Francis Hosson
https://angel.co/company/aire-9,Aire,New Market in Midwest,airemanage.net,,,,Chicago,1-10 people,Marijuana,Alonzo Turner
https://angel.co/company/the-marley-brothers,The Marley Brothers,#TMB powering vape and legal cannabis to a projected $87 billion global market by 2025.,,,facebook.com/groups/marleybrothers,,London Jamaica Kenya,1-10 people,FashionCigarette ManufacturingLifestyleMarijuana,Paul Grimshaw
https://angel.co/company/harvest-connections,Harvest Connections,Connecting Top Tier Talent to the Growing Cannabis Industry,harvestingconnections.com,,,https://www.linkedin.com/company/harvest-connections/?viewAsMember=true,Santa Monica West Palm Beach United States Canada,1-10 people,RetailSales and MarketingFood and BeveragesDirect MarketingSocial Media MarketingHuman ResourcesBrand MarketingAgricultureCustomer ServiceCorporate WellnessHealth and WellnessDistributionFarmingDirect SalesHealthcare ServicesIT ManagementCorporate ITMarketingSame Day DeliveryCustomer ExperienceDistributed SystemsWholesale DistributionBrand DevelopmentMarijuana EdiblesCpg TechnologySalesDigital MarketingPersonal Relationship ManagerCustomer Relations Service ProvidersMedical Marijuana DispensariesMarijuanaHvacHR / Recruiting,Philip Tambasco
https://angel.co/company/budder,Budder,ERP for Cannabis,budder.io,,,,Union City,1-10 people,MarijuanaSaaS,Pete Pellizzari
https://angel.co/company/the-neptune-company,The Neptune Company,"Neptune is a Cannabis Dispensary, Lounge, and Cafe.",http://www.theneptunecompany.com/,,,,Palm Springs,11-50 people,Food and BeveragesSpecialty RetailResortsCafesMarijuana EdiblesMedical Marijuana DispensariesMarijuana,Dalvin Hicks
https://angel.co/company/liffy-tv-1,Liffy TV,A Market-Focused Live Streaming Platform (Twitch),liffy.tv,,,,Phoenix,1-10 people,MarijuanaDigital MediaPrivate Social NetworkingLive Entertainment, Liffy TV and Philip L
https://angel.co/company/green-box-2,Green Box,Premium Curated Cannabis Subscription Box,pdxgreenbox.com,,,,Portland,1-10 people,MarijuanaE-CommerceSame Day Delivery,Adrian Wayman
https://angel.co/company/hempothic,Hempothic,Mobile Scientific Hemp Services,hempothic.com,,,,Salisbury Maryland,1-10 people,MarijuanaSpecialty ChemicalsPharmaceuticalsHealth and Wellness,Robert W Figliozzi
https://angel.co/company/westbox,WestBox,Keg for cannabis,westboxvapor.com,,,,Los Angeles,1-10 people,MarijuanaHardwareTechnologySocial,Max Ramaswami
https://angel.co/company/spectrum-cannalabs,Spectrum CannaLabs,Pharmaceutical-Grade Testing for Cannabis,spectrumcl.com,,,,Davis,1-10 people,MarijuanaCertification TestTechnology,
