fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Homoglyph,xn--gro-dma3898a.co,,,,,,,,
Homoglyph,xn--grov-opa.co,,,,,,,,
Homoglyph,xn--gov-ura16j.co,,,,,,,,
Homoglyph,xn--rov-2ra00i.co,,,,,,,,
Homoglyph,xn--gro-ura3478a.co,,,,,,,,
Homoglyph,xn--gro-era3578a.co,,,,,,,,
Homoglyph,xn--rve-c7a77g.co,,,,,,,,
Homoglyph,xn--gre-pcz3t.co,,,,,,,,
Homoglyph,xn--r0ve-zwa.co,,,,,,,,
Homoglyph,xn--roe-wsa6456c.co,,,,,,,,
Homoglyph,xn--roe-wsa6868a.co,,,,,,,,
Homoglyph,xn--gove-qh5a.co,,,,,,,,
Homoglyph,xn--goe-nya5348a.co,,,,,,,,
Homoglyph,xn--gov-dlb6877a.co,,,,,,,,
Homoglyph,xn--rov-wsa7918a.co,,,,,,,,
Homoglyph,xn--rve-gna2t.co,,,,,,,,
Homoglyph,xn--gve-dxb9537a.co,,,,,,,,
Homoglyph,xn--ove-wsa95o.co,,,,,,,,
Homoglyph,xn--grv-tna0p.co,,,,,,,,
Homoglyph,xn--rov-ura01i.co,,,,,,,,
Homoglyph,xn--ove-uya34k.co,,,,,,,,
Homoglyph,xn--gr0v-jwa.co,,,,,,,,
Homoglyph,xn--grov-jwa.co,,,,,,,,
Homoglyph,xn--qrov-364a.co,,,,,,,,
Homoglyph,xn--rov-dma08j.co,,,,,,,,
Homoglyph,xn--gov-5qa1858a.co,,,,,,,,
Homoglyph,xn--ove-8tb9m.co,,,,,,,,
Homoglyph,xn--gro-mra3578a.co,,,,,,,,
Homoglyph,xn--grv-8la73g.co,,,,,,,,
Homoglyph,xn--gov-2ra12a.co,,,,,,,,
Homoglyph,xn--g0ve-vg5a.co,,,,,,,,
Homoglyph,xn--goe-87y5g.co,,,,,,,,
Homoglyph,xn--gve-sna83l.co,,,,,,,,
Homoglyph,xn--groc-s69b.co,,,,,,,,
Homoglyph,xn--gro-6jyz8e.co,,,,,,,,
Homoglyph,xn--grv-hma7739a.co,,,,,,,,
Homoglyph,xn--grv-tna0248a.co,,,,,,,,
Homoglyph,xn--gro-8la8898a.co,,,,,,,,
Homoglyph,xn--ove-wsa40m.co,,,,,,,,
Homoglyph,xn--gve-sna8278a.co,,,,,,,,
Homoglyph,xn--g0ve-04a.co,,,,,,,,
Homoglyph,xn--gro-xnb3325c.co,,,,,,,,
Homoglyph,xn--gov-hma68l.co,,,,,,,,
Homoglyph,xn--grv-dma2739a.co,,,,,,,,
Homoglyph,xn--govc-vg5a.co,,,,,,,,
Homoglyph,xn--gov-dlb6996a.co,,,,,,,,
Homoglyph,xn--gve-hxb4637a.co,,,,,,,,
Homoglyph,xn--ove-whb98d.co,,,,,,,,
Homoglyph,xn--goe-hxb5696a.co,,,,,,,,
Homoglyph,xn--roe-dub1017a.co,,,,,,,,
Homoglyph,xn--gre-tna9198a.co,,,,,,,,
Homoglyph,xn--gov-2ra1458a.co,,,,,,,,
Homoglyph,xn--gve-txb9337a.co,,,,,,,,
Homoglyph,xn--rov-2ra0b.co,,,,,,,,
Homoglyph,xn--g0ve-vwb.co,,,,,,,,
Homoglyph,xn--grve-hx5a.co,,,,,,,,
Homoglyph,xn--gov-mra16j.co,,,,,,,,
Homoglyph,xn--roe-gsa1856c.co,,,,,,,,
Homoglyph,xn--ove-uya33e.co,,,,,,,,
Homoglyph,xn--rve-osa5019a.co,,,,,,,,
Homoglyph,xn--rov-osa78l.co,,,,,,,,
Homoglyph,xn--qove-54b.co,,,,,,,,
Homoglyph,xn--qove-5g5a.co,,,,,,,,
Homoglyph,xn--gov-ura11a.co,,,,,,,,
Homoglyph,xn--gov-lma1878a.co,,,,,,,,
Homoglyph,xn--gov-era14a.co,,,,,,,,
Homoglyph,xn--gro-era8266c.co,,,,,,,,
Homoglyph,xn--gr0v-e4b.co,,,,,,,,
Homoglyph,xn--gro-5qa8557a.co,,,,,,,,
Homoglyph,xn--goe-s7y051g.co,,,,,,,,
Homoglyph,xn--rov-dma05k.co,,,,,,,,
Homoglyph,xn--rov-5qa0c.co,,,,,,,,
Homoglyph,xn--rov-7ra70m.co,,,,,,,,
Homoglyph,xn--gov-era15a.co,,,,,,,,
Homoglyph,xn--gov-dma64r.co,,,,,,,,
Homoglyph,xn--gov-lxb1527a.co,,,,,,,,
Homoglyph,xn--goe-nya0136c.co,,,,,,,,
Homoglyph,xn--rov-lma08p.co,,,,,,,,
Homoglyph,xn--ove-3kb31b.co,,,,,,,,
Homoglyph,xn--grv-lma2739a.co,,,,,,,,
Homoglyph,xn--gro-era3678a.co,,,,,,,,
Homoglyph,xn--gov-era13a.co,,,,,,,,
Homoglyph,xn--grv-era21e.co,,,,,,,,
Homoglyph,xn--gro-mra8166c.co,,,,,,,,
Homoglyph,xn--gov-j0y1o.co,,,,,,,,
Homoglyph,xn--ove-mya85k.co,,,,,,,,
Homoglyph,xn--gro-hma8798a.co,,,,,,,,
Homoglyph,xn--roe-whb1346a.co,,,,,,,,
Homoglyph,xn--gr0v-yva.co,,,,,,,,
Homoglyph,xn--gov-hxb6527a.co,,,,,,,,
Homoglyph,xn--rov-hma5z.co,,,,,,,,
Homoglyph,xn--rve-7ra5119a.co,,,,,,,,
Homoglyph,xn--rov-lma0y.co,,,,,,,,
Homoglyph,xn--gov-5qa61p.co,,,,,,,,
Homoglyph,xn--ove-2fb47e.co,,,,,,,,
Homoglyph,xn--ove-2fb4457a.co,,,,,,,,
Homoglyph,xn--goe-k7yv51g.co,,,,,,,,
Homoglyph,xn--ove-7ra98o.co,,,,,,,,
Homoglyph,xn--gov-xnb64b.co,,,,,,,,
Homoglyph,xn--gro-8la3586c.co,,,,,,,,
Homoglyph,xn--ove-whb49d.co,,,,,,,,
Homoglyph,xn--grv-2ra2219a.co,,,,,,,,
Homoglyph,xn--gve-kob3m.co,,,,,,,,
Homoglyph,xn--gov-ura68o.co,,,,,,,,
Homoglyph,xn--gro-hma3677a.co,,,,,,,,
Homoglyph,xn--gov-lma18o.co,,,,,,,,
Homoglyph,xn--gov-hma64c.co,,,,,,,,
Homoglyph,xn--ove-bgb4357a.co,,,,,,,,
Homoglyph,xn--rov-lma0x.co,,,,,,,,
Homoglyph,xn--ove-mya35k.co,,,,,,,,
Homoglyph,xn--grov-jua.co,,,,,,,,
Homoglyph,xn--gove-lwb.co,,,,,,,,
Homoglyph,xn--gov-era17m.co,,,,,,,,
Homoglyph,xn--rve-gna24p.co,,,,,,,,
Homoglyph,xn--gov-2ra14m.co,,,,,,,,
Homoglyph,xn--gro-dma3386c.co,,,,,,,,
Homoglyph,xn--goe-lxb5284c.co,,,,,,,,
Homoglyph,xn--gov-dma62r.co,,,,,,,,
Homoglyph,xn--rov-osa73k.co,,,,,,,,
Homoglyph,xn--grv-mra2519a.co,,,,,,,,
Homoglyph,xn--rove-z7b.co,,,,,,,,
Homoglyph,xn--gov-2ra68o.co,,,,,,,,
Homoglyph,xn--gro-5qa8366c.co,,,,,,,,
Homoglyph,xn--grv-ura2319a.co,,,,,,,,
Homoglyph,xn--grv-ljzye.co,,,,,,,,
Homoglyph,xn--gre-d7a9486a.co,,,,,,,,
Homoglyph,xn--gov-5qa14a.co,,,,,,,,
Homoglyph,xn--grv-8la2e.co,,,,,,,,
Homoglyph,xn--ove-bgb46e.co,,,,,,,,
Homoglyph,xn--grv-d7a59d.co,,,,,,,,
Homoglyph,xn--gve-3ya4188a.co,,,,,,,,
Homoglyph,xn--gov-ura12a.co,,,,,,,,
Homoglyph,xn--rve-8tb5947a.co,,,,,,,,
Homoglyph,xn--rov-dma0z.co,,,,,,,,
Homoglyph,xn--rov-gsa7128a.co,,,,,,,,
Homoglyph,xn--rov-hma58p.co,,,,,,,,
Homoglyph,xn--rov-bgb79b.co,,,,,,,,
Homoglyph,xn--goe-5jyx4c.co,,,,,,,,
Homoglyph,xn--gr0v-jpa.co,,,,,,,,
Homoglyph,xn--gre-tna4876c.co,,,,,,,,
Homoglyph,xn--roe-osa1756c.co,,,,,,,,
Homoglyph,xn--gov-ura1858a.co,,,,,,,,
Homoglyph,xn--rov-era05h.co,,,,,,,,
Homoglyph,xn--gov-dma1088a.co,,,,,,,,
